Entity,Day,total_vaccinations
Connecticut,3/8/21,1228865
Connecticut,3/9/21,1245687
Connecticut,3/10/21,1272581
Connecticut,3/11/21,1304302
Connecticut,3/12/21,1345350
Connecticut,3/13/21,1411525
Connecticut,3/14/21,1411532
Connecticut,3/15/21,1442439
Connecticut,3/16/21,1460334
Connecticut,3/17/21,1483587
Connecticut,3/18/21,1514945
Connecticut,3/19/21,1551481
Connecticut,3/20/21,1586484
Connecticut,3/21/21,1623090
Connecticut,3/22/21,1658338
Connecticut,3/23/21,1676905
Connecticut,3/24/21,1701298
Connecticut,3/25/21,1737160
Connecticut,3/26/21,1774045
Connecticut,3/27/21,1813854
Connecticut,3/28/21,1854289
Connecticut,3/29/21,1891603
Connecticut,3/30/21,1924605
Connecticut,3/31/21,1954259
Connecticut,4/1/21,1992899
Connecticut,4/2/21,2035542
Connecticut,4/3/21,2092230
Connecticut,4/4/21,2138503
Connecticut,4/5/21,2178710
Connecticut,4/6/21,2186180
Connecticut,4/7/21,2227005
Connecticut,4/8/21,2279517
Connecticut,4/9/21,2340942
Connecticut,4/10/21,2391842
Delaware,1/12/21,26410
Delaware,1/13/21,28413
Delaware,1/14/21,31090
Delaware,1/15/21,31090
Delaware,1/19/21,42557
Delaware,1/20/21,45640
Delaware,1/21/21,49369
Delaware,1/22/21,54257
Delaware,1/23/21,60023
Delaware,1/24/21,64186
Delaware,1/25/21,66914
Delaware,1/26/21,68507
Delaware,1/27/21,77449
Delaware,1/28/21,82289
Delaware,1/29/21,87300
Delaware,1/30/21,92509
Delaware,1/31/21,99954
Delaware,2/1/21,102697
Delaware,2/2/21,103770
Delaware,2/3/21,107544
Delaware,2/4/21,110784
Delaware,2/5/21,114226
Delaware,2/6/21,118475
Delaware,2/7/21,123428
Delaware,2/8/21,126650
Delaware,2/9/21,127523
Delaware,2/10/21,130116
Delaware,2/11/21,133370
Delaware,2/12/21,136591
Delaware,2/13/21,142103
Delaware,2/14/21,146437
Delaware,2/16/21,152387
Delaware,2/17/21,155111
Delaware,2/18/21,159845
Delaware,2/19/21,175305
Delaware,2/20/21,180600
Delaware,2/21/21,180940
Delaware,2/22/21,183901
Delaware,2/23/21,186619
Delaware,2/24/21,189836
Delaware,2/25/21,195534
Delaware,2/26/21,203745
Delaware,2/27/21,212739
Delaware,2/28/21,219312
Delaware,3/1/21,225374
Delaware,3/2/21,225417
Delaware,3/3/21,237669
Delaware,3/4/21,246194
Delaware,3/5/21,255036
Delaware,3/6/21,264601
Delaware,3/7/21,275467
Delaware,3/8/21,280674
Delaware,3/9/21,285101
Delaware,3/10/21,285262
Delaware,3/11/21,299695
Delaware,3/12/21,307982
Delaware,3/13/21,317790
Delaware,3/14/21,317790
Delaware,3/15/21,333896
Delaware,3/16/21,338429
Delaware,3/17/21,346179
Delaware,3/18/21,354571
Delaware,3/19/21,362023
Delaware,3/20/21,372165
Delaware,3/21/21,382342
Delaware,3/22/21,389157
Delaware,3/23/21,389157
